2026-02-06 18:36:28,955 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:37:03,743 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:38:31,906 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:38:40,931 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:38:52,261 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:39:04,358 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:39:26,308 | ERROR | __main__ | connection to server at "localhost" (::1), port 5432 failed: FATAL:  role "ADMIN" does not exist

2026-02-06 18:41:10,766 | ERROR | __main__ | connection to server at "localhost" (::1), port 5432 failed: FATAL:  role "ADMIN" does not exist

2026-02-06 18:44:28,880 | ERROR | __main__ | relation "ingredients" already exists

2026-02-06 18:45:57,944 | INFO | __main__ | Updade
2026-02-07 13:37:41,911 | ERROR | __main__ | relation "ingredients" already exists

2026-02-07 14:10:10,342 | ERROR | __main__ | relation "ingredients" already exists

2026-02-07 15:25:11,597 | ERROR | __main__ | syntax error at or near "ingredients"
LINE 1: INSERT ingredients users (name, ingredients) VALUES ('Emma',...
               ^

2026-02-07 15:26:28,814 | ERROR | __main__ | column "ingredients" of relation "ingredients" does not exist
LINE 1: INSERT INTO ingredients (name, ingredients) VALUES ('Emma', ...
                                       ^

2026-02-13 22:12:58,957 | INFO | __main__ | customers loaded to database
2026-02-13 22:12:59,056 | INFO | __main__ | stores loaded to database
2026-02-13 22:12:59,076 | INFO | __main__ | ingredients loaded to database
2026-02-13 22:12:59,080 | INFO | __main__ | menu_items loaded to database
2026-02-13 22:12:59,121 | INFO | __main__ | store_ingredent loaded to database
2026-02-13 22:12:59,130 | INFO | __main__ | menu_ingredients loaded to database
2026-02-13 22:12:59,338 | INFO | __main__ | orders loaded to database
2026-02-13 22:13:06,775 | INFO | __main__ | order_items loaded to database
2026-02-13 22:25:40,258 | INFO | __main__ | customers loaded to database
2026-02-13 22:25:40,364 | INFO | __main__ | stores loaded to database
2026-02-13 22:25:40,367 | INFO | __main__ | ingredients loaded to database
2026-02-13 22:25:40,367 | INFO | __main__ | menu_items loaded to database
2026-02-13 22:25:40,367 | INFO | __main__ | store_ingredent loaded to database
2026-02-13 22:25:40,386 | INFO | __main__ | menu_ingredients loaded to database
2026-02-13 22:25:40,595 | INFO | __main__ | orders loaded to database
2026-02-13 22:25:47,919 | INFO | __main__ | order_items loaded to database
2026-02-13 22:52:57,296 | INFO | __main__ | customers loaded to database
2026-02-13 22:52:57,492 | INFO | __main__ | stores loaded to database
2026-02-13 22:52:57,583 | INFO | __main__ | ingredients loaded to database
2026-02-13 22:52:57,901 | INFO | __main__ | menu_items loaded to database
2026-02-13 22:52:58,021 | INFO | __main__ | store_ingredent loaded to database
2026-02-13 22:52:58,121 | INFO | __main__ | menu_ingredients loaded to database
2026-02-13 22:52:58,749 | INFO | __main__ | orders loaded to database
2026-02-13 22:53:10,539 | INFO | __main__ | order_items loaded to database
2026-02-13 23:18:09,209 | INFO | __main__ | store_ingredent loaded to database
2026-02-13 23:24:01,162 | INFO | __main__ | store_ingredent loaded to database
